name,aliases,kcal,protein,fat,carbs,piece_g
варенье,джем|конфитюр,271,0.3,0.1,68.5,
сгущёнка,сгущённое молоко,320,7.2,8.5,56.0,
сметанник,,250,0.0,15.0,28.0,
дрожжи сухие,сухие дрожжи,325,40.0,8.0,38.0,
разрыхлитель,пекарский порошок,79,3.0,0.0,17.0,
ванилин,ванильный сахар,398,0.0,0.0,99.0,
сода,сода пищевая,0,0.0,0.0,0.0,
соль,поваренная соль|морская соль,0,0.0,0.0,0.0,
перец чёрный,чёрный перец|перец молотый,251,10.0,3.3,38.6,
паприка,,282,14.0,13.0,54.0,
куркума,,354,7.8,9.9,64.9,
карри,,325,12.7,13.8,55.8,
корица,,247,4.0,1.2,80.6,
тимьян,чабрец,276,9.0,7.4,64.0,
розмарин,,131,3.3,5.9,20.7,
уксус,уксус столовый|винный уксус|яблочный уксус,18,0.0,0.0,5.0,
бальзамический уксус,бальзамик,88,0.5,0.0,17.0,
соевый соус,,53,8.1,0.0,5.6,
вустерский соус,,90,1.0,0.0,20.0,
томатная паста,,93,4.8,0.5,19.2,
кетчуп,,93,1.8,1.0,22.2,
майонез,,680,0.7,75.0,2.5,
горчица,,167,5.0,11.0,12.0,
аджика,,40,1.0,3.7,5.8,
хрен,,57,3.2,0.4,10.5,
бульонный кубик,бульон|бульонная приправа,200,3.0,15.0,15.0,
вода,,0,0.0,0.0,0.0,
сок лимона,лимонный сок,22,0.3,0.0,6.5,
сок яблочный,яблочный сок,46,0.1,0.1,11.4,
сок апельсиновый,апельсиновый сок,45,0.7,0.2,10.4,
кофе,молотый кофе,2,0.2,0.0,0.3,
чай,заварка,0,0.0,0.0,0.3,
вино белое,белое вино,66,0.1,0.0,0.6,
вино красное,красное вино,68,0.2,0.0,0.3,
коньяк,,239,0.0,0.0,1.5,
ром,,231,0.0,0.0,1.4,
